subject_id	event_id	text	start_time	end_time	duration	topic	category	n_sentences	source_file	source_granularity	rating_source	emotional_intensity	joy	sadness	fear	anger	disgust	surprise	anxiety	vision	audition	olfaction	gustation	somatosensation	interoception
sub-031	1	Okay so I feel a lot of tension in my shoulders and I’m not really sure why	1.210000000000001	10.79	9.579999999999998	shoulder tension	1	1	data/transcripts_and_timestamps/sentence_level/sub-031_transcripts.xlsx	thought	gpt_generated	-2.0	1.0	1.0	2.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	3.0	3.0
sub-031	2	This place is actually really comfortable	11.2	13.72	2.5200000000000014	mri machine comfort	1	1	data/transcripts_and_timestamps/sentence_level/sub-031_transcripts.xlsx	thought	gpt_generated	2.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
sub-031	3	I kinda like the the little small space and I like how smooth the interior of this tube is It’s really nice	13.97	23.84	9.87	mri machine design	1	2	data/transcripts_and_timestamps/sentence_level/sub-031_transcripts.xlsx	thought	gpt_generated	1.5	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.5	1.0	1.0	1.0	2.0	1.0
sub-031	4	I always thought that like when when Savannah like says stuff it would be really loud or also in the headphones I didn’t realize that it’s so hard to hear	25.88	39.39	13.510000000000002	room noise	1	2	data/transcripts_and_timestamps/sentence_level/sub-031_transcripts.xlsx	thought	gpt_generated	-0.5	2.0	1.0	1.0	1.0	1.0	1.5	2.0	1.0	3.5	1.0	1.0	1.0	1.0
sub-031	5	I guess that’s why people don’t actually respond sometimes I thought they were just being rude but maybe they can’t hear	39.39	47.95999999999999	8.569999999999986	thinkaloud responses	4	2	data/transcripts_and_timestamps/sentence_level/sub-031_transcripts.xlsx	thought	gpt_generated	-0.5	2.0	2.0	1.0	1.0	1.0	1.5	2.0	1.0	2.5	1.0	1.0	1.0	1.0
sub-031	6	Um I should not laugh That would be bad um with all the head movement with that	48.37	56.08	7.710000000000001	laughing in mri	1	2	data/transcripts_and_timestamps/sentence_level/sub-031_transcripts.xlsx	thought	gpt_generated	-0.5	1.0	1.5	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0
sub-031	7	I I don’t like	59.8	62.97	3.1700000000000017	personal opinion	3	1	data/transcripts_and_timestamps/sentence_level/sub-031_transcripts.xlsx	thought	gpt_generated	-2.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0
sub-031	8	I feel like some- I I either have two modes	65.1	67.97	2.8700000000000045	participant's modes	3	1	data/transcripts_and_timestamps/sentence_level/sub-031_transcripts.xlsx	thought	gpt_generated	0.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
sub-031	9	Either completely still or like constantly fidgeting	67.97	72.5	4.530000000000001	still vs fidget	3	1	data/transcripts_and_timestamps/sentence_level/sub-031_transcripts.xlsx	thought	gpt_generated	0.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
sub-031	10	I still feel like that class thought I was crazy cause it was just zoom and I was moving around a lot	74.29	85.72	11.429999999999993	zoom class	2	1	data/transcripts_and_timestamps/sentence_level/sub-031_transcripts.xlsx	thought	gpt_generated	-2.0	2.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0
sub-031	11	But I just am kind of naturally fidgety	85.8	90.45	4.650000000000006	fidgeting	3	1	data/transcripts_and_timestamps/sentence_level/sub-031_transcripts.xlsx	thought	gpt_generated	0.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
sub-031	12	But then like sometimes there’s days where I just don’t move at all It’s probably really bad for me to just sit on the couch and like not uh leave one spot Um maybe I should stop doing that	90.45	119.19	28.739999999999995	being sedentary	3	3	data/transcripts_and_timestamps/sentence_level/sub-031_transcripts.xlsx	thought	gpt_generated	-0.3333333333333333	1.6666666666666667	1.6666666666666667	1.0	1.0	1.0	1.0	1.6666666666666667	1.0	1.0	1.0	1.0	1.0	1.0
sub-031	13	Should is kind of an interesting word There’s so much to do with	124.59	135.11	10.52000000000001	"the word ""should"""	4	2	data/transcripts_and_timestamps/sentence_level/sub-031_transcripts.xlsx	thought	gpt_generated	0.0	2.0	1.0	1.0	1.0	1.0	1.0	1.5	1.0	1.0	1.0	1.0	1.0	1.0
sub-031	14	Oh the screen just went dark or Now it’s blue	135.11	140.05	4.939999999999998	mri screen color	1	2	data/transcripts_and_timestamps/sentence_level/sub-031_transcripts.xlsx	thought	gpt_generated	0.0	1.5	1.0	1.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0
sub-031	15	I wonder why they made blank screens blu- like when there’s no signal, why is it blue?	141.05	146.81	5.759999999999991	blank screen color	4	1	data/transcripts_and_timestamps/sentence_level/sub-031_transcripts.xlsx	thought	gpt_generated	0.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0
sub-031	16	It’s kind of a loud color	147.85	149.89	2.039999999999992	the color blue	4	1	data/transcripts_and_timestamps/sentence_level/sub-031_transcripts.xlsx	thought	gpt_generated	-1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0
sub-031	17	It’s like such an intense blue too	150.44	152.3	1.8600000000000136	mri screen color	1	1	data/transcripts_and_timestamps/sentence_level/sub-031_transcripts.xlsx	thought	gpt_generated	-1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0
sub-031	18	Why isn’t it- I guess black would just make you assume that there’s no power so I guess that’s bad	152.3	158.74	6.439999999999998	blank screen color	4	2	data/transcripts_and_timestamps/sentence_level/sub-031_transcripts.xlsx	thought	gpt_generated	-0.5	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.5	1.0	1.0	1.0	1.0	1.0
sub-031	19	I I said I guess I don’t have a solution to this	160.57	163.83	3.2600000000000193	blank screen color	3	1	data/transcripts_and_timestamps/sentence_level/sub-031_transcripts.xlsx	thought	gpt_generated	-1.0	2.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0
sub-031	20	But I just don’t like the blue It bothers me	164.62	169.06	4.439999999999998	mri screen color	3	2	data/transcripts_and_timestamps/sentence_level/sub-031_transcripts.xlsx	thought	gpt_generated	-1.5	2.0	1.5	1.0	1.5	1.0	1.0	1.5	1.5	1.0	1.0	1.0	1.0	1.0
sub-031	21	Or just I guess or just a black screen with white text that says no signal What’s wrong with that? Why does it have to be a blue screen?	172.4	180.11	7.710000000000008	blank screen color	4	3	data/transcripts_and_timestamps/sentence_level/sub-031_transcripts.xlsx	thought	gpt_generated	0.0	2.0	1.0	1.0	1.0	1.0	1.0	1.6666666666666667	1.6666666666666667	1.0	1.0	1.0	1.0	1.0
sub-031	22	Or or even the snow from before like the old days on tv I wonder why that happened too	181.95	194.42	12.469999999999999	blank television screens	4	2	data/transcripts_and_timestamps/sentence_level/sub-031_transcripts.xlsx	thought	gpt_generated	0.5	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.5	1.0	1.0	1.0	1.0	1.0
sub-031	23	Probably something to do with tv signals	194.42	197.78	3.3600000000000136	televison signals	4	1	data/transcripts_and_timestamps/sentence_level/sub-031_transcripts.xlsx	thought	gpt_generated	0.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
sub-031	24	TV is such a crazy idea Like you just have pictures but they’re moving and they’re like being broadcast from somewhere else	199.6	212.74	13.140000000000015	televison	4	2	data/transcripts_and_timestamps/sentence_level/sub-031_transcripts.xlsx	thought	gpt_generated	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.5	1.0	1.0	1.0	1.0	1.0
sub-031	25	I guess technology just amazes me a lot of time I feel like we take it so much for granted	213.38	219.1	5.719999999999999	technology	3	2	data/transcripts_and_timestamps/sentence_level/sub-031_transcripts.xlsx	thought	gpt_generated	0.5	2.5	1.5	1.0	1.0	1.0	1.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0
sub-031	26	but it’s it’s not that easy	219.1	226.06	6.960000000000008	technology	4	1	data/transcripts_and_timestamps/sentence_level/sub-031_transcripts.xlsx	thought	gpt_generated	0.0	2.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0
sub-031	27	Also if if society completely collapsed tomorrow we would be pretty bad off	226.06	233.41	7.349999999999994	societal collapse	4	1	data/transcripts_and_timestamps/sentence_level/sub-031_transcripts.xlsx	thought	gpt_generated	-2.0	1.0	2.0	3.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0
sub-031	28	I feel like the average joe is	233.41	236.72	3.3100000000000023	the average joe	4	1	data/transcripts_and_timestamps/sentence_level/sub-031_transcripts.xlsx	thought	gpt_generated	0.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
sub-031	29	I don’t know I don’t know how to survive I think about that a lot like	236.72	241.71	4.990000000000009	survival skills	3	2	data/transcripts_and_timestamps/sentence_level/sub-031_transcripts.xlsx	thought	gpt_generated	-1.0	1.5	2.0	2.0	1.0	1.0	1.0	2.5	1.0	1.0	1.0	1.0	1.0	1.0
